,City (rus),City (eng),Tariffs (rus),Tariffs (eng),website
0,Абакан,Abakan,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/abakan/tariff
1,Абдулино,Abdulino,Эконом,econom,https://taxi.yandex.ru/abdulino/tariff
2,Абинск,Abinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/abinsk/tariff
3,Авсюнино,Avsyunino,"Эконом, Детский, Грузовой, Доставка, Курьер","econom, child_tariff, cargo, express, courier",https://taxi.yandex.ru/avsyunino/tariff
4,Агидель,Agidel,Эконом,econom,https://taxi.yandex.ru/agidel/tariff
5,Агрыз,Agryz,Эконом,econom,https://taxi.yandex.ru/agryz/tariff
6,Адлер,Adler,"Эконом, Комфорт, Комфорт+, Business, Premier, Минивэн, Cruise, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, vip, ultimate, minivan, premium_van, child_tariff, express, cargo, courier",https://taxi.yandex.ru/adler/tariff
7,Адыгейск,Adygeysk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/adygejsk/tariff
8,Азнакаево,Aznakayevo,Эконом,econom,https://taxi.yandex.ru/aznakaevo/tariff
9,Азов,Azov,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/azov/tariff
10,Ак-Довурак,Ak-Dovurak,Эконом,econom,https://taxi.yandex.ru/ak-dovurak/tariff
11,Академгородок,Akademgorodok,"Эконом, Комфорт, Комфорт+, Business, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, child_tariff, cargo, express, courier",https://taxi.yandex.ru/akademgorod/tariff
12,Алагир,Alagir,Эконом,econom,https://taxi.yandex.ru/alagir/tariff
13,Алапаевск,Alapayevsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/alapaevsk/tariff
14,Алатырь,Alatyr,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/alatyr/tariff
15,Алдан,Aldan,Эконом,econom,https://taxi.yandex.ru/aldan/tariff
16,Алейск,Aleysk,Эконом,econom,https://taxi.yandex.ru/aleysk/tariff
17,Александров,Alexandrov,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/aleksandrov/tariff
18,Александровское,Aleksandrovskoe,Эконом,econom,https://taxi.yandex.ru/aleksandrovskoe/tariff
19,Алексеевка,Alexeyevka,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/alekseevka/tariff
20,Алексин,Aleksin,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/aleksin/tariff
21,Алтайский край,Altayskiy kray,Эконом,econom,https://taxi.yandex.ru/altajskij_region/tariff
22,Алтайское,Altayskoe,Эконом,econom,https://taxi.yandex.ru/altayskoe/tariff
23,Алушта,Alushta,-,-,Not supported
24,Альметьевск,Almetyevsk,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/almetevsk/tariff
25,Амурск,Amursk,Эконом,econom,https://taxi.yandex.ru/amursk/tariff
26,Амурская область,Amurskaya oblast,Эконом,econom,https://taxi.yandex.ru/amur_region/tariff
27,Анадырь,Anadyr,Эконом,econom,https://taxi.yandex.ru/anadyr/tariff
28,Анапа,Anapa,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/anapa/tariff
29,Ангарск,Angarsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/angarsk/tariff
30,Андреевка,Andreevka,"Эконом, Комфорт, Комфорт+, Business, Детский, Минивэн, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, child_tariff, minivan, cargo, express, courier",https://taxi.yandex.ru/andreevka/tariff
31,Анжеро-Судженск,Anzhero-Sudzhensk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/anzherosudzhensk/tariff
32,Анна,Anna,Эконом,econom,https://taxi.yandex.ru/anna/tariff
33,Апатиты,Apatity,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/apatity/tariff
34,Апрелевка,Aprelevka,"Эконом, Комфорт, Комфорт+, Business, Минивэн, Доставка, Грузовой, Детский, Курьер","econom, business, comfortplus, vip, minivan, express, cargo, child_tariff, courier",https://taxi.yandex.ru/aprelevka/tariff
35,Апшеронск,Apsheronsk,Эконом,econom,https://taxi.yandex.ru/apsheronsk/tariff
36,Аргун,Argun,Эконом,econom,https://taxi.yandex.ru/argun/tariff
37,Арена Металлург,Arena Metallurg,Эконом,econom,https://taxi.yandex.ru/magnitogorsk_arena/tariff
38,Арзамас,Arzamas,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/arzamas/tariff
39,Арзгир,Arzgir,Эконом,econom,https://taxi.yandex.ru/arzgir/tariff
40,Армавир,Armavir,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/armavir/tariff
41,Арсеньев,Arsenyev,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/arsenev/tariff
42,Арск,Arsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/arsk/tariff
43,Артем,Artem,"Эконом, Комфорт, Грузовой, Доставка, Курьер","econom, business, cargo, express, courier",https://taxi.yandex.ru/artem/tariff
44,Архангельск,Arkhangelsk,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/arkhangelsk/tariff
45,Архонская,Arhonskaya,Эконом,econom,https://taxi.yandex.ru/arkhonskaya/tariff
46,Архыз,Arhyz,Эконом,econom,https://taxi.yandex.ru/arhyz/tariff
47,Асбест,Asbest,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/asbest/tariff
48,Асино,Asino,Эконом,econom,https://taxi.yandex.ru/asino/tariff
49,Аскиз,Askiz,Эконом,econom,https://taxi.yandex.ru/askiz/tariff
50,Астраханская область,Astrahanskaya oblast,Эконом,econom,https://taxi.yandex.ru/astrakhan_region/tariff
51,Астрахань,Astrakhan,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Курьер","econom, business, comfortplus, child_tariff, express, courier",https://taxi.yandex.ru/astrakhan/tariff
52,Аткарск,Atkarsk,Эконом,econom,https://taxi.yandex.ru/atkarsk/tariff
53,Афипский,Afipskiy,Эконом,econom,https://taxi.yandex.ru/afipskiy/tariff
54,Ахтубинск,Akhtubinsk,Эконом,econom,https://taxi.yandex.ru/ahtubinsk/tariff
55,Ачинск,Achinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/achinsk/tariff
56,Аша,Asha,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/asha/tariff
57,Аэропорт Анапа,Aeroport Anapa,"Эконом, Комфорт, Детский, Доставка","econom, business, child_tariff, express",https://taxi.yandex.ru/anapa_airport/tariff
58,Аэропорт Внуково,Aeroport Vnukovo,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Cruise, Минивэн, Детский, Доставка, Водитель, Грузовой","econom, business, comfortplus, vip, ultimate, maybach, premium_van, minivan, child_tariff, express, personal_driver, cargo",https://taxi.yandex.ru/vko/tariff
59,Аэропорт Волгоград,Aeroport Volgograd,"Эконом, Комфорт, Детский, Доставка","econom, business, child_tariff, express",https://taxi.yandex.ru/volgograd_airport/tariff
60,Аэропорт Геленджик,Aeroport Gelendzhik,"Эконом, Комфорт, Детский, Доставка","econom, business, child_tariff, express",https://taxi.yandex.ru/gelendzhik_airport/tariff
61,Аэропорт Домодедово,Aeroport Domodedovo,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Cruise, Минивэн, Детский, Доставка, Водитель, Грузовой","econom, business, comfortplus, vip, ultimate, maybach, premium_van, minivan, child_tariff, express, personal_driver, cargo",https://taxi.yandex.ru/dme/tariff
62,Аэропорт Минеральные Воды,Aeroport Mineralnye Vody,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/myneralnyevody_airport/tariff
63,Аэропорт Платов,Aeroport Platov,"Эконом, Комфорт, Комфорт+, Business, Детский, Доставка","econom, business, comfortplus, vip, child_tariff, express",https://taxi.yandex.ru/platov_airport/tariff
64,Аэропорт Платов стойки Яндекса,Aeroport Platov stoyki Yandeksa,"Комфорт, Эконом, Business, Детский, Комфорт+, Доставка","business, econom, vip, child_tariff, comfortplus, express",https://taxi.yandex.ru/boryaplatov/tariff
65,Аэропорт Пулково,Aeroport Pulkovo,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Минивэн, Детский, Доставка, Грузовой","econom, business, comfortplus, vip, ultimate, maybach, minivan, child_tariff, express, cargo",https://taxi.yandex.ru/spb_airport/tariff
66,Аэропорт Самары,Aeroport Samary,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Курьер","econom, business, comfortplus, child_tariff, express, courier",https://taxi.yandex.ru/samara_airport/tariff
67,Аэропорт Сочи,Aeroport Soczi,"Эконом, Комфорт, Комфорт+, Business, Premier, Минивэн, Cruise, Детский, Доставка, Грузовой","econom, business, comfortplus, vip, ultimate, minivan, premium_van, child_tariff, express, cargo",https://taxi.yandex.ru/sochi_airport/tariff
68,Аэропорт Ставрополь,Aeroport Stavropol,"Эконом, Комфорт, Детский, Доставка","econom, business, child_tariff, express",https://taxi.yandex.ru/stavropol_airport/tariff
69,Аэропорт Ульяновск,Aeroport Ulyanovsk,"Эконом, Комфорт, Доставка","econom, business, express",https://taxi.yandex.ru/ulianovsk_airport/tariff
70,Аэропорт Шереметьево,Aeroport Sheremetevo,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Cruise, Минивэн, Детский, Доставка, Водитель, Грузовой","econom, business, comfortplus, vip, ultimate, maybach, premium_van, minivan, child_tariff, express, personal_driver, cargo",https://taxi.yandex.ru/svo/tariff
71,Базарный Карабулак,Bazarnyy Karabulak,Эконом,econom,https://taxi.yandex.ru/bazarniy_karabulak/tariff
72,Баймак,Baymak,Эконом,econom,https://taxi.yandex.ru/baimak/tariff
73,Баксан,Baksan,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/baksan/tariff
